거래일자,거래시간,지역,연료원,전력거래량(MWh)
2024-01-01,1,인천시,태양광,0.0
2024-01-01,2,인천시,태양광,0.0
2024-01-01,3,인천시,태양광,0.0
2024-01-01,4,인천시,태양광,0.0
2024-01-01,5,인천시,태양광,0.0
2024-01-01,6,인천시,태양광,8e-05
2024-01-01,7,인천시,태양광,0.0
2024-01-01,8,인천시,태양광,0.009903
2024-01-01,9,인천시,태양광,1.854978
2024-01-01,10,인천시,태양광,9.668028
2024-01-01,11,인천시,태양광,16.951976
2024-01-01,12,인천시,태양광,18.698057
2024-01-01,13,인천시,태양광,14.105465
2024-01-01,14,인천시,태양광,10.54949
2024-01-01,15,인천시,태양광,6.347345
2024-01-01,16,인천시,태양광,1.76702
2024-01-01,17,인천시,태양광,6.026715
2024-01-01,18,인천시,태양광,2.517901
2024-01-01,19,인천시,태양광,0.914517
2024-01-01,20,인천시,태양광,0.67988
2024-01-01,21,인천시,태양광,0.62592
2024-01-01,22,인천시,태양광,0.36672
2024-01-01,23,인천시,태양광,0.02784
2024-01-01,24,인천시,태양광,0.0
2024-01-02,1,인천시,태양광,0.0
2024-01-02,2,인천시,태양광,0.0
2024-01-02,3,인천시,태양광,0.00096
2024-01-02,4,인천시,태양광,8e-05
2024-01-02,5,인천시,태양광,0.0
2024-01-02,6,인천시,태양광,0.0
2024-01-02,7,인천시,태양광,0.0
2024-01-02,8,인천시,태양광,0.002381
2024-01-02,9,인천시,태양광,0.629366
2024-01-02,10,인천시,태양광,4.253658
2024-01-02,11,인천시,태양광,5.965503
2024-01-02,12,인천시,태양광,6.834581
2024-01-02,13,인천시,태양광,10.789837
2024-01-02,14,인천시,태양광,11.126618
2024-01-02,15,인천시,태양광,7.8804
2024-01-02,16,인천시,태양광,5.347815
2024-01-02,17,인천시,태양광,5.538056
2024-01-02,18,인천시,태양광,1.643846
2024-01-02,19,인천시,태양광,0.190496
2024-01-02,20,인천시,태양광,0.6554
2024-01-02,21,인천시,태양광,0.21792
2024-01-02,22,인천시,태양광,0.0
2024-01-02,23,인천시,태양광,0.0
2024-01-02,24,인천시,태양광,0.0
2024-01-03,1,인천시,태양광,0.0
2024-01-03,2,인천시,태양광,8e-05
2024-01-03,3,인천시,태양광,0.0
2024-01-03,4,인천시,태양광,0.0
2024-01-03,5,인천시,태양광,0.0
2024-01-03,6,인천시,태양광,0.0
2024-01-03,7,인천시,태양광,0.0
2024-01-03,8,인천시,태양광,0.0
2024-01-03,9,인천시,태양광,0.08073
2024-01-03,10,인천시,태양광,1.973505
2024-01-03,11,인천시,태양광,5.402805
2024-01-03,12,인천시,태양광,9.742065
2024-01-03,13,인천시,태양광,8.579987
2024-01-03,14,인천시,태양광,5.45551
2024-01-03,15,인천시,태양광,8.463097
2024-01-03,16,인천시,태양광,6.687562
2024-01-03,17,인천시,태양광,7.257093
2024-01-03,18,인천시,태양광,0.77466
2024-01-03,19,인천시,태양광,0.069384
2024-01-03,20,인천시,태양광,0.62864
2024-01-03,21,인천시,태양광,0.10368
2024-01-03,22,인천시,태양광,0.0
2024-01-03,23,인천시,태양광,0.0
2024-01-03,24,인천시,태양광,0.0
2024-01-04,1,인천시,태양광,0.0
2024-01-04,2,인천시,태양광,0.0
2024-01-04,3,인천시,태양광,0.0
2024-01-04,4,인천시,태양광,0.0
2024-01-04,5,인천시,태양광,0.0
2024-01-04,6,인천시,태양광,8e-05
2024-01-04,7,인천시,태양광,0.0
2024-01-04,8,인천시,태양광,0.0003
2024-01-04,9,인천시,태양광,1.187533
2024-01-04,10,인천시,태양광,5.100189
2024-01-04,11,인천시,태양광,15.354708
2024-01-04,12,인천시,태양광,18.060887
2024-01-04,13,인천시,태양광,16.061944
2024-01-04,14,인천시,태양광,17.619428
2024-01-04,15,인천시,태양광,13.131689
2024-01-04,16,인천시,태양광,5.592326
2024-01-04,17,인천시,태양광,7.45153
2024-01-04,18,인천시,태양광,4.074064
2024-01-04,19,인천시,태양광,1.001656
2024-01-04,20,인천시,태양광,0.969772
2024-01-04,21,인천시,태양광,0.66064
2024-01-04,22,인천시,태양광,0.22656
2024-01-04,23,인천시,태양광,0.0
2024-01-04,24,인천시,태양광,0.0
2024-01-05,1,인천시,태양광,0.0
2024-01-05,2,인천시,태양광,0.00096
2024-01-05,3,인천시,태양광,0.0
2024-01-05,4,인천시,태양광,0.0
2024-01-05,5,인천시,태양광,0.0
